,average_mood,mood_class
1220,6.6,2
1221,4.8,1
1222,7.6,5
1223,6.0,1
1224,6.0,1
1225,5.0,1
1226,6.833333333333333,2
1227,6.0,1
1228,7.0,3
1229,6.0,1
1230,6.0,1
1231,6.2,1
1232,6.25,1
1233,6.0,1
1234,5.75,1
1235,5.833333333333333,1
1236,6.4,1
1237,6.25,1
1238,5.4,1
1239,6.2,1
1240,8.2,5
1241,7.0,3
1242,6.8,2
1243,7.0,3
