,id,date,mood_class,average_mood,average_arousal,average_valence,average_activity,total_screen,total_sms,total_calls,total_built_in,total_communication,total_other,group,total_professional,total_recreation,total_convenience
65,AS14.02,2014-04-05,4,7.4,0.0,0.6,0.3219197224805252,13067.926001548763,1.0,9.0,1957.0870000000004,2309.659,100.897,2.0,0.0,1053.095,388.071
66,AS14.02,2014-04-06,1,4.5,-1.0,-1.25,0.2152095201608524,3649.96799850464,0.0,6.0,576.385,1224.322,30.011000000000003,2.0,0.0,1010.5219999999999,0.0
67,AS14.02,2014-04-07,2,6.8,0.0,0.6,0.1365237343960995,6366.526998281479,0.0,2.0,1482.948,3761.179000000001,106.148,2.0,0.0,2746.1,0.0
68,AS14.02,2014-04-08,1,6.25,-0.25,0.5,0.2619510376215639,4079.1519994735736,1.0,10.0,1184.7780000000002,2265.855,134.434,2.0,0.0,829.733,0.0
69,AS14.02,2014-04-09,4,7.25,-0.5,0.25,0.2472098480448902,5757.426000595091,1.0,12.0,1427.022,2255.545,61.397,2.0,0.0,921.557,0.0
70,AS14.02,2014-04-10,4,7.25,0.25,0.75,0.2607506038432932,7844.238998651505,1.0,1.0,1303.452,2726.237,141.214,2.0,0.0,1262.1309999999999,527.1579999999999
71,AS14.02,2014-04-11,2,6.5,-0.5,0.5,0.4244814273084369,5810.030001163482,1.0,7.0,1548.192,2343.7930000000006,136.128,2.0,0.0,1020.3689999999999,630.9290000000001
72,AS14.02,2014-04-12,1,6.0,-2.0,-1.0,0.3783017333120428,3658.8190011978154,1.0,6.0,1826.668,1516.767,11.016,2.0,0.0,157.19199999999998,369.171
73,AS14.02,2014-04-13,3,7.2,-0.6,0.4,0.2898201182827999,2174.870997667313,0.0,1.0,510.913,855.2189999999998,79.11199999999998,2.0,0.0,494.59100000000007,159.64600000000002
74,AS14.02,2014-04-14,5,8.0,0.75,1.0,0.1870740501721279,2773.043000936509,7.0,8.0,809.9720000000002,1822.477,21.182,2.0,0.0,152.589,84.488
75,AS14.02,2014-04-15,4,7.25,-0.5,0.5,0.1736288831786874,701.2870004177096,1.0,14.0,98.26600000000002,445.9169999999999,0.0,2.0,0.0,45.044000000000004,0.0
76,AS14.02,2014-04-16,2,6.666666666666667,-0.3333333333333333,0.3333333333333333,0.3532763532763534,109.28399968147278,1.0,16.0,125.133,0.0,0.0,2.0,0.0,0.0,0.0
