,id,date,mood_class,average_mood,last_5day_average_mood,last_5day_average_arousal,last_5day_average_valence,last_5day_average_activity,last_5day_total_screen,last_5day_total_sms,last_5day_total_calls,last_5day_total_built_in,last_5day_total_communication,last_5day_total_entertainment,last_5day_total_finance,last_5day_total_game,last_5day_total_office,last_5day_total_other,last_5day_total_social,last_5day_total_travel,last_5day_total_unknown,last_5day_total_utilities,last_5day_total_weather
83,AS14.02,2014-04-23,6,5.5,5.666666666666667,-0.6333333333333333,-0.2333333333333333,0.1373334197562873,40.08040003776556,1.0,7.2,2.018,14.4682,0.0,0.0,0.0,0.0,0.0,21.3774,0.0,0.0,0.0,0.0
84,AS14.02,2014-04-24,6,7.0,5.466666666666667,-0.6333333333333333,-0.13333333333333328,0.1584603750756201,40.08040003776556,1.2,8.0,2.018,14.4682,0.0,0.0,0.0,0.0,0.0,21.3774,0.0,0.0,0.0,0.0
85,AS14.02,2014-04-25,10,9.0,5.733333333333333,-0.6,-0.1666666666666666,0.06535692679975806,2.616000032424936,1.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3774,0.0,0.0,0.0,0.0
91,AS14.03,2014-03-26,10,8.25,8.120000000000001,0.12,1.3599999999999999,0.11986045897345499,3879.1972003459937,1.0,4.6,455.8920000000001,1454.758,2372.4782,117.82480000000001,0.0,87.689,373.79599999999994,0.0,88.78999999999999,11.6776,7.6658,8.9708
92,AS14.03,2014-03-27,8,7.75,7.970000000000001,0.019999999999999997,1.16,0.12125934322493218,4343.401799917222,0.6,3.8,446.0088000000002,1368.768,2654.4494,135.253,0.0,89.81660000000001,279.6144,0.0,91.35799999999999,13.207399999999998,7.6658,8.9708
93,AS14.03,2014-03-28,8,8.0,7.960000000000001,-0.09000000000000001,1.06,0.1036208322356611,4469.820800161362,0.6,2.8,467.25840000000005,1463.4014,2202.0959999999995,135.253,0.0,92.50399999999999,273.7776,0.0,57.64899999999999,13.207399999999998,10.293800000000001,8.9708
94,AS14.03,2014-03-29,10,8.6,7.92,-0.15,1.1199999999999999,0.10450735015263206,4110.24179968834,0.4,3.2,424.2484000000001,1350.9528,2524.1760000000004,127.9802,0.0,69.3456,272.74699999999996,0.0,2.568,25.964800000000004,11.7028,0.0
95,AS14.03,2014-03-30,10,8.4,8.08,-0.07000000000000002,1.1600000000000001,0.11903477322004878,3312.9107998847962,0.6,2.6,409.6612000000001,925.0712,2248.4129999999996,116.811,0.0,44.2806,123.4286,0.0,2.568,23.752000000000002,10.675600000000001,0.0
96,AS14.03,2014-03-31,8,7.4,8.2,-0.030000000000000016,1.1199999999999999,0.12541125916868615,3268.432199716568,0.4,1.6,203.336,908.7762,2386.0926,27.3024,0.0,21.322200000000002,133.9134,0.0,2.568,21.340600000000002,4.907000000000001,6.391
97,AS14.03,2014-04-01,8,7.6,8.030000000000001,-0.050000000000000024,1.04,0.12390733585972706,4350.885599946976,0.6,2.0,588.6074000000001,1532.3554,2254.8116,25.372400000000003,0.0,17.1854,139.1346,0.0,0.0,19.810800000000004,5.939,6.391
98,AS14.03,2014-04-02,8,7.4,8.0,-0.020000000000000018,1.02,0.12275105314924309,4336.917999505997,0.4,1.8,579.6728,1488.3826000000001,2249.371,37.1006,0.0,26.996000000000002,167.775,0.0,0.0,19.810800000000004,2.441,6.391
99,AS14.03,2014-04-03,8,7.8,7.880000000000001,0.11999999999999997,0.8400000000000001,0.11755282321081309,4359.677600002289,0.4,1.6,695.0072,1464.3184,1975.3136000000002,50.1884,0.0,21.4946,138.2682,0.0,10.829,7.053400000000001,1.032,6.391
100,AS14.03,2014-04-04,8,7.8,7.720000000000001,0.15999999999999998,0.72,0.10160464653907972,4369.948599863053,0.2,1.8,3691.1452,1570.7696,1888.1,54.73479999999999,0.0,21.494600000000002,135.63060000000002,0.0,10.829,11.091800000000001,6.8713999999999995,6.391
101,AS14.03,2014-04-05,8,7.6,7.6,0.24,0.8,0.08609581556899588,4302.493599748612,0.8,1.6,3811.9900000000002,1486.8632,1754.4502,64.19160000000001,0.0,17.4704,278.9538,0.0,10.829,67.14020000000001,6.8713999999999995,0.0
102,AS14.03,2014-04-06,6,6.8,7.640000000000001,0.4,0.8800000000000001,0.0922546861758214,3193.377199554442,0.6,2.2,3455.6025999999997,826.4070000000002,1873.7194,48.6934,0.0,38.7676,271.369,0.0,14.768200000000002,67.14020000000001,5.8394,0.0
103,AS14.03,2014-04-07,8,7.4,7.4799999999999995,0.36,0.96,0.08812622124360661,3757.9281993865966,0.6,1.8,3349.0826,830.1160000000002,2395.2486,36.965199999999996,0.0,26.269600000000004,435.64079999999996,0.0,14.768200000000002,71.759,5.8394,0.0
104,AS14.03,2014-04-08,8,7.4,7.4799999999999995,0.36,1.04,0.10120138094402924,4092.2091991901398,0.6,1.8,3297.4451999999997,1023.4934000000003,2501.7102,41.516799999999996,0.0,47.465999999999994,430.2888,0.0,3.9392000000000005,88.3118,5.8394,0.0
105,AS14.03,2014-04-09,8,7.8,7.4,0.43999999999999995,1.08,0.10524026785710541,4524.838399219514,0.8,2.0,472.1512000000001,1023.1294000000001,2344.6056,32.513999999999996,0.0,346.4388,426.224,0.0,3.9392000000000005,86.499,0.0,0.0
106,AS14.03,2014-04-10,8,7.4,7.4,0.5199999999999999,1.0,0.10624340243489785,4233.293999385834,0.2,2.0,353.50120000000004,1015.0842000000002,2267.1646,29.404199999999992,0.0,348.4602,260.57399999999996,0.0,3.9392000000000005,33.448,0.0,0.0
107,AS14.03,2014-04-11,8,7.6,7.359999999999999,0.36,1.0,0.1049710947320095,4866.413799858094,0.6,0.8,321.6272,1148.7992000000002,2363.2673999999997,29.404199999999992,0.0,328.20640000000003,267.41999999999996,2.644,0.0,233.448,0.0,0.0
108,AS14.03,2014-04-12,8,7.666666666666667,7.5200000000000005,0.36,1.0399999999999998,0.11365430828931519,4657.488199996948,0.6,0.8,339.8464,1342.5102000000002,2142.1252,32.83399999999999,0.0,330.0384,133.31980000000001,2.644,0.0,234.4978,0.9026,0.0
109,AS14.03,2014-04-13,8,7.4,7.573333333333333,0.3866666666666666,1.0399999999999998,0.11024898938576619,4148.922799921036,0.6,1.6,3220.6441999999997,1030.9508,3039.3628,15.194599999999994,0.0,305.1022,333.39880000000005,2.644,0.0,222.16420000000002,2.7686,0.0
110,AS14.03,2014-04-14,6,7.0,7.573333333333333,0.3466666666666666,1.0,0.10511032002593361,4804.254999685287,0.6,1.4,3324.2303999999995,1372.4884000000002,3421.4222,9.776799999999994,0.0,134.88060000000002,679.2162000000001,2.644,0.0,219.9386,2.7686,0.0
